AS;Interatomic Distance (pm);CS;MI;nd;cn sur;Ed (eV);Edw (eV);Eu (eV);SE (J/m2);WF (eV);cn ADS;E;site
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;1;423;ads top
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;2;578;ads bS
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;2;711;ads bL
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;4;697;ads h
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;6;610;abs top
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;4;708;abs bS
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;1;424;ads top
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;3;647;ads h fcc
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;3;651;ads h hcp
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;4;605;abs top
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;6;708;abs h fcc
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;4;593;abs h hcp
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;1;543;ads top
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;2;656;ads b
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;4;761;ads h
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;6;505;abs top
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;4;527;abs b
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;1;577;ads top
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;2;697;ads bS
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;2;698;ads bL
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;4;600;ads h
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;6;412;abs top
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;4;530;abs bS
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;1;534;ads top
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;3;697;ads h fcc
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;3;720;ads h hcp
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;4;555;abs top
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;6;588;abs h fcc
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;4;559;abs h hcp
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;1;292;ads top
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;2;419;ads b
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;4;584;ads h
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;6;455;abs top
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;4;442;abs b
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;1;266;ads top
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;2;528;ads bL
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;4;546;ads h
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;6;459;abs top
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;4;538;abs bS
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;6;438;abs h
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;1;256;ads top
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;3;440;ads h fcc
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;3;436;ads h hcp
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;4;383;abs top
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;6;482;abs h fcc
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;4;394;abs h hcp
